model,actual_full,diagnostic_pred,theta,se,n_items
01-ai/Yi-1.5-6B,0.27065217391304347,0.392374674953428,0.17569363946082717,0.15815955172732646,318
01-ai/Yi-6B-Chat,0.27717391304347827,0.4077278222956835,0.30003602372171867,0.15725911291365843,318
BEE-spoke-data/smol_llama-220M-openhermes,0.225,0.19667357416460707,-1.673063704123882,0.18833948708439335,318
BSC-LT/salamandra-7b-instruct,0.3032608695652174,0.4230845036458773,0.4230738652313811,0.15649917744004702,318
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.3119565217391304,0.4415160973738386,0.5693040685386284,0.1557594741151819,318
Qwen/Qwen2-0.5B,0.2597826086956522,0.3095695401740715,-0.5295377040361965,0.16593820348489832,318
allenai/OLMo-1B-hf,0.2510869565217391,0.31263211464688984,-0.502067194701645,0.16554781229770185,318
google/gemma-2-2b,0.2847826086956522,0.41694145846299485,0.3740008732553186,0.15678691460889718,318
h2oai/h2o-danube-1.8b-chat,0.25217391304347825,0.29732363750456203,-0.640764224488239,0.16759176283236438,318
meta-llama/Llama-3.2-3B-Instruct,0.3010869565217391,0.43844394200489695,0.5450259151333502,0.15587029740698616,318
stabilityai/stablelm-zephyr-3b,0.2717391304347826,0.34634544276217677,-0.20764915335545364,0.16181196813071522,318
tiiuae/Falcon3-3B-Instruct,0.28043478260869564,0.41694145846299474,0.3740008732553181,0.15678691460889776,318
