source,tag,se_target,mean_items,median_items,pct_items,corr,mae,n_bank_items
atlas,atlas3pl_own_resp,0.5,8.18,8.0,1.26,0.9046,0.0347,650
atlas,atlas3pl_own_resp,0.45,8.22,8.0,1.26,0.9055,0.0342,650
atlas,atlas3pl_own_resp,0.4,8.37,8.0,1.29,0.9071,0.0337,650
atlas,atlas3pl_own_resp,0.35,8.73,8.0,1.34,0.9048,0.0336,650
atlas,atlas3pl_own_resp,0.3,9.15,8.0,1.41,0.9059,0.0336,650
atlas,atlas3pl_own_resp,0.25,10.37,10.0,1.59,0.905,0.0334,650
atlas,atlas3pl_own_resp,0.2,13.0,12.5,2.0,0.915,0.031,650
atlas,atlas3pl_own_resp,0.15,32.23,19.0,4.96,0.9245,0.03,650
atlas,atlas3pl_own_resp,0.12,47.22,27.5,7.26,0.931,0.0303,650
local,local_arc_2pl,0.5,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.45,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.4,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.35,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.3,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.25,8.92,8.0,1.18,0.8604,0.0805,759
local,local_arc_2pl,0.2,14.62,12.0,1.93,0.8416,0.087,759
local,local_arc_2pl,0.15,32.85,30.0,4.33,0.9196,0.0739,759
local,local_arc_2pl,0.12,71.08,64.0,9.36,0.965,0.072,759
local,local_arc_1pl,0.5,13.69,14.0,1.8,0.7291,0.079,759
local,local_arc_1pl,0.45,17.77,18.0,2.34,0.8573,0.0713,759
local,local_arc_1pl,0.4,23.38,23.0,3.08,0.9289,0.0589,759
local,local_arc_1pl,0.35,31.31,31.0,4.12,0.957,0.0495,759
local,local_arc_1pl,0.3,43.38,43.0,5.72,0.976,0.05,759
local,local_arc_1pl,0.25,63.69,63.0,8.39,0.9759,0.0648,759
local,local_arc_1pl,0.2,100.46,99.0,13.24,0.9772,0.0631,759
local,local_arc_1pl,0.15,182.0,181.0,23.98,0.9871,0.0597,759
local,local_arc_1pl,0.12,303.54,298.0,39.99,0.9851,0.0684,759
